Timestamp,UART Data
1692983651,"27.27,490304.00"
1692983651,"27.41,490312.00"
1692983651,"27.20,490320.00"
1692983651,"27.32,490328.00"
1692983651,"27.27,490336.00"
1692983651,"27.20,490344.00"
1692983651,"27.35,490352.00"
1692983651,"27.16,490360.00"
1692983651,"27.31,490368.00"
1692983651,"27.29,490376.00"
1692983651,"27.25,490384.00"
1692983651,"27.44,490392.00"
1692983651,"27.29,490400.00"
1692983651,"27.46,490408.00"
1692983651,"27.44,490416.00"
1692983651,"27.40,490424.00"
1692983651,"27.57,490432.00"
1692983651,"27.39,490440.00"
1692983651,"27.54,490448.00"
1692983651,"27.50,490456.00"
1692983651,"27.43,490464.00"
1692983651,"27.58,490472.00"
1692983651,"27.40,490480.00"
1692983651,"27.54,490488.00"
1692983651,"27.49,490496.00"
1692983651,"27.42,490504.00"
1692983651,"27.57,490512.00"
1692983651,"27.38,490520.00"
1692983651,"27.51,490528.00"
1692983651,"27.46,490536.00"
1692983651,"27.39,490544.00"
1692983651,"27.55,490552.00"
1692983651,"27.37,490560.00"
1692983651,"27.51,490568.00"
1692983651,"27.47,490576.00"
1692983651,"27.40,490584.00"
1692983651,"27.55,490592.00"
1692983651,"27.37,490600.00"
1692983651,"27.51,490608.00"
1692983651,"27.47,490616.00"
1692983651,"27.41,490624.00"
1692983651,"27.57,490632.00"
1692983651,"27.39,490640.00"
1692983651,"27.53,490648.00"
1692983651,"27.50,490656.00"
1692983651,"27.42,490664.00"
1692983651,"27.59,490672.00"
1692983651,"27.40,490680.00"
1692983651,"27.55,490688.00"
1692983651,"27.50,490696.00"
1692983651,"27.43,490704.00"
1692983651,"27.59,490712.00"
1692983651,"27.40,490720.00"
1692983651,"27.54,490728.00"
1692983651,"27.51,490736.00"
1692983651,"27.44,490744.00"
1692983651,"27.59,490752.00"
1692983651,"27.42,490760.00"
1692983651,"27.56,490768.00"
1692983651,"27.51,490776.00"
1692983651,"27.43,490784.00"
1692983651,"27.59,490792.00"
1692983651,"27.41,490800.00"
1692983651,"27.55,490808.00"
1692983651,"27.51,490816.00"
1692983651,"27.43,490824.00"
1692983651,"27.59,490832.00"
1692983651,"27.42,490840.00"
1692983651,"27.55,490848.00"
1692983651,"27.51,490856.00"
1692983651,"27.44,490864.00"
1692983651,"27.60,490872.00"
1692983651,"27.41,490880.00"
1692983651,"27.55,490888.00"
1692983651,"27.51,490896.00"
1692983651,"27.43,490904.00"
1692983651,"27.59,490912.00"
1692983651,"27.41,490920.00"
1692983651,"27.55,490928.00"
1692983651,"27.51,490936.00"
1692983651,"27.43,490944.00"
1692983651,"27.59,490952.00"
1692983651,"27.40,490960.00"
1692983651,"27.53,490968.00"
1692983651,"27.47,490976.00"
1692983651,"27.38,490984.00"
1692983651,"27.51,490992.00"
1692983651,"27.28,491000.00"
1692983651,"27.42,491008.00"
1692983651,"27.39,491016.00"
1692983651,"27.35,491024.00"
1692983651,"27.53,491032.00"
1692983651,"27.39,491040.00"
1692983651,"27.56,491048.00"
1692983651,"27.53,491056.00"
1692983651,"27.45,491064.00"
1692983651,"27.62,491072.00"
1692983651,"27.46,491080.00"
1692983651,"27.59,491088.00"
1692983651,"27.40,491096.00"
1692983651,"26.88,491104.00"
1692983651,"26.27,491112.00"
1692983651,"25.71,491120.00"
1692983651,"26.58,491128.00"
1692983652,"27.18,491136.00"
1692983652,"27.23,491144.00"
1692983652,"27.43,491152.00"
1692983652,"27.29,491160.00"
1692983652,"27.46,491168.00"
1692983652,"27.45,491176.00"
1692983652,"27.38,491184.00"
1692983652,"27.54,491192.00"
1692983652,"27.36,491200.00"
1692983652,"27.49,491208.00"
1692983652,"27.44,491216.00"
1692983652,"27.36,491224.00"
1692983652,"27.50,491232.00"
1692983652,"27.31,491240.00"
1692983652,"27.44,491248.00"
1692983652,"27.39,491256.00"
1692983652,"27.29,491264.00"
1692983652,"27.43,491272.00"
1692983652,"27.23,491280.00"
1692983652,"27.35,491288.00"
1692983652,"27.29,491296.00"
1692983652,"27.18,491304.00"
1692983652,"27.32,491312.00"
1692983652,"27.12,491320.00"
1692983652,"27.24,491328.00"
1692983652,"27.21,491336.00"
1692983652,"27.13,491344.00"
1692983652,"27.31,491352.00"
1692983652,"27.14,491360.00"
1692983652,"27.31,491368.00"
1692983652,"27.32,491376.00"
1692983652,"27.28,491384.00"
1692983652,"27.48,491392.00"
1692983652,"27.32,491400.00"
1692983652,"27.48,491408.00"
1692983652,"27.46,491416.00"
1692983652,"27.40,491424.00"
1692983652,"27.57,491432.00"
1692983652,"27.40,491440.00"
1692983652,"27.53,491448.00"
1692983652,"27.50,491456.00"
1692983652,"27.42,491464.00"
1692983652,"27.58,491472.00"
1692983652,"27.40,491480.00"
1692983652,"27.53,491488.00"
1692983652,"27.49,491496.00"
1692983652,"27.41,491504.00"
1692983652,"27.57,491512.00"
1692983652,"27.39,491520.00"
1692983652,"27.52,491528.00"
1692983652,"27.48,491536.00"
1692983652,"27.40,491544.00"
1692983652,"27.56,491552.00"
1692983652,"27.38,491560.00"
1692983652,"27.52,491568.00"
1692983652,"27.48,491576.00"
1692983652,"27.40,491584.00"
1692983652,"27.57,491592.00"
1692983652,"27.39,491600.00"
1692983652,"27.54,491608.00"
1692983652,"27.51,491616.00"
1692983652,"27.43,491624.00"
1692983652,"27.60,491632.00"
1692983652,"27.42,491640.00"
1692983652,"27.55,491648.00"
1692983652,"27.52,491656.00"
1692983652,"27.44,491664.00"
1692983652,"27.61,491672.00"
1692983652,"27.42,491680.00"
1692983652,"27.56,491688.00"
1692983652,"27.54,491696.00"
1692983652,"27.46,491704.00"
1692983652,"27.63,491712.00"
1692983652,"27.44,491720.00"
1692983652,"27.57,491728.00"
1692983652,"27.55,491736.00"
1692983652,"27.46,491744.00"
1692983652,"27.62,491752.00"
1692983652,"27.44,491760.00"
1692983652,"27.58,491768.00"
1692983652,"27.55,491776.00"
1692983652,"27.47,491784.00"
1692983652,"27.63,491792.00"
1692983652,"27.45,491800.00"
1692983652,"27.58,491808.00"
1692983652,"27.56,491816.00"
1692983652,"27.48,491824.00"
1692983652,"27.64,491832.00"
1692983652,"27.46,491840.00"
1692983652,"27.58,491848.00"
1692983652,"27.56,491856.00"
1692983652,"27.48,491864.00"
1692983652,"27.65,491872.00"
1692983652,"27.46,491880.00"
1692983652,"27.59,491888.00"
1692983652,"27.57,491896.00"
1692983652,"27.48,491904.00"
1692983652,"27.66,491912.00"
1692983652,"27.47,491920.00"
1692983652,"27.59,491928.00"
1692983652,"27.55,491936.00"
1692983652,"27.45,491944.00"
1692983652,"27.61,491952.00"
1692983652,"27.39,491960.00"
1692983652,"27.48,491968.00"
1692983652,"27.44,491976.00"
1692983652,"27.37,491984.00"
1692983652,"27.57,491992.00"
1692983652,"27.40,492000.00"
1692983652,"27.58,492008.00"
1692983652,"27.59,492016.00"
1692983652,"27.51,492024.00"
1692983652,"27.68,492032.00"
1692983652,"27.50,492040.00"
1692983652,"27.65,492048.00"
1692983652,"27.63,492056.00"
1692983652,"27.40,492064.00"
1692983652,"27.15,492072.00"
1692983652,"26.21,492080.00"
1692983652,"25.92,492088.00"
1692983652,"26.59,492096.00"
1692983652,"27.16,492104.00"
1692983652,"27.47,492112.00"
1692983652,"27.34,492120.00"
1692983652,"27.50,492128.00"
1692983653,"27.51,492136.00"
1692983653,"27.44,492144.00"
1692983653,"27.62,492152.00"
1692983653,"27.44,492160.00"
1692983653,"27.56,492168.00"
1692983653,"27.53,492176.00"
1692983653,"27.43,492184.00"
1692983653,"27.59,492192.00"
1692983653,"27.40,492200.00"
1692983653,"27.51,492208.00"
1692983653,"27.47,492216.00"
1692983653,"27.38,492224.00"
1692983653,"27.53,492232.00"
1692983653,"27.33,492240.00"
1692983653,"27.43,492248.00"
1692983653,"27.39,492256.00"
1692983653,"27.28,492264.00"
1692983653,"27.43,492272.00"
1692983653,"27.22,492280.00"
1692983653,"27.34,492288.00"
1692983653,"27.31,492296.00"
1692983653,"27.21,492304.00"
1692983653,"27.38,492312.00"
1692983653,"27.20,492320.00"
1692983653,"27.35,492328.00"
1692983653,"27.37,492336.00"
1692983653,"27.32,492344.00"
1692983653,"27.53,492352.00"
1692983653,"27.37,492360.00"
1692983653,"27.53,492368.00"
1692983653,"27.53,492376.00"
1692983653,"27.45,492384.00"
1692983653,"27.62,492392.00"
1692983653,"27.45,492400.00"
1692983653,"27.59,492408.00"
1692983653,"27.57,492416.00"
1692983653,"27.48,492424.00"
1692983653,"27.65,492432.00"
1692983653,"27.47,492440.00"
1692983653,"27.59,492448.00"
1692983653,"27.57,492456.00"
1692983653,"27.47,492464.00"
1692983653,"27.63,492472.00"
1692983653,"27.44,492480.00"
1692983653,"27.57,492488.00"
1692983653,"27.55,492496.00"
1692983653,"27.45,492504.00"
1692983653,"27.62,492512.00"
1692983653,"27.44,492520.00"
1692983653,"27.57,492528.00"
1692983653,"27.54,492536.00"
1692983653,"27.45,492544.00"
1692983653,"27.62,492552.00"
1692983653,"27.45,492560.00"
1692983653,"27.58,492568.00"
1692983653,"27.56,492576.00"
1692983653,"27.47,492584.00"
1692983653,"27.64,492592.00"
1692983653,"27.46,492600.00"
1692983653,"27.59,492608.00"
1692983653,"27.58,492616.00"
1692983653,"27.49,492624.00"
1692983653,"27.66,492632.00"
